col,thresh,full,average,final
contact_pred_rolling_69,0.4,0.7622084340799123,0.5675190778571668,0.7733164323098776
contact_pred_rolling_60,0.4,0.7587853769547114,0.5737412019340834,0.7720050151527821
contact_pred_rolling_66,0.4,0.7618223159741471,0.5693131847763718,0.7716564130628313
contact_pred_rolling_63,0.4,0.758321775596308,0.5735933169486067,0.7704175218795734
contact_pred_rolling_54,0.4,0.7558144155427482,0.5827907185554003,0.7702020036277104
contact_pred_rolling_48,0.4,0.7543038247489197,0.5899792803220592,0.7699120351593844
contact_pred_rolling_51,0.4,0.7532639364928082,0.5867005503422597,0.7698414013226961
contact_pred_rolling_57,0.4,0.7556079368574211,0.5789693011394385,0.7697641632386164
contact_pred_rolling_54,0.43333333333333335,0.7545521577659217,0.5960814066800117,0.7683493214101322
contact_pred_rolling_45,0.4,0.750614055661569,0.5906463385136526,0.7677477600922585
contact_pred_rolling_39,0.4,0.7479973485928085,0.5961060114964973,0.7674605292969807
contact_pred_rolling_36,0.4,0.7465579948300806,0.5994210893096784,0.7673191126680007
contact_pred_rolling_48,0.43333333333333335,0.7534023493482701,0.6034460568566267,0.7671363166276564
contact_pred_rolling_42,0.4,0.7492312296709229,0.5926340373992673,0.7669555743993284
contact_pred_rolling_60,0.43333333333333335,0.756748794696706,0.5904030807674817,0.7664572580998598
contact_pred_rolling_51,0.43333333333333335,0.7536706100463949,0.5992220442237819,0.7664475744735681
contact_pred_rolling_66,0.43333333333333335,0.7562933955153675,0.5829216844150718,0.7663376787687374
contact_pred_rolling_42,0.43333333333333335,0.7491429765938414,0.6073601996365463,0.7660966733824758
contact_pred_rolling_57,0.43333333333333335,0.753916369857825,0.5933283232301861,0.76578366583249
contact_pred_rolling_63,0.43333333333333335,0.7554142205262256,0.5856998201880851,0.7657382769285994
contact_pred_rolling_45,0.43333333333333335,0.7478695149128155,0.605121992649388,0.7653594502133028
contact_pred_rolling_69,0.43333333333333335,0.7556979955405082,0.5797537062643402,0.7651720359440424
