col,thresh,full,average,final
contact_pred_rolling_60,0.3,0.7690079349688095,0.8122735184332683,0.7899296607141241
contact_pred_rolling_58,0.3,0.7701686449580777,0.8116620662252116,0.78933480478895
contact_pred_rolling_62,0.3263157894736842,0.7680266222854616,0.8115132126820547,0.7892128039342825
contact_pred_rolling_56,0.3,0.7721094707887551,0.8115215563433739,0.7891994996037842
contact_pred_rolling_66,0.3263157894736842,0.7676335781964244,0.8112283347494219,0.7889374202292894
contact_pred_rolling_63,0.3263157894736842,0.7660696821617907,0.8108307846425254,0.7885514758561107
contact_pred_rolling_52,0.3,0.7710324283772183,0.8108039041094689,0.7885064035725071
contact_pred_rolling_57,0.3,0.7702516409597114,0.8107809964333325,0.7884813468974574
contact_pred_rolling_64,0.3263157894736842,0.76749171045449,0.8106997797045862,0.7884253047585952
contact_pred_rolling_61,0.3,0.7673462401761727,0.8107175544819001,0.788421249807171
contact_pred_rolling_72,0.3263157894736842,0.7716115018053088,0.8106766838382463,0.7884020418848033
contact_pred_rolling_62,0.3,0.7665615227118595,0.810673371730223,0.7883816987234459
contact_pred_rolling_50,0.3263157894736842,0.7712959344045204,0.8105454820250746,0.7882756801027185
contact_pred_rolling_65,0.3263157894736842,0.7668273375585059,0.8105005908316444,0.7882304116666446
contact_pred_rolling_48,0.3263157894736842,0.7709622361566985,0.8104145525963207,0.7881495792740011
contact_pred_rolling_70,0.3263157894736842,0.7700939550242618,0.8102601391689995,0.7879998426887604
contact_pred_rolling_73,0.3263157894736842,0.7709174160849142,0.8101933485996031,0.787932474178455
contact_pred_rolling_52,0.3263157894736842,0.7711795286270594,0.8101714352819852,0.7879133941835609
contact_pred_rolling_71,0.3263157894736842,0.7686804930385729,0.810061092775762,0.7878050944025135
contact_pred_rolling_42,0.3,0.7687689685933914,0.8100690969475691,0.7877947750016987
contact_pred_rolling_38,0.3,0.7643377501430468,0.810016689863694,0.7877462915262212
