col,thresh,full,average,distance,final
contact_pred_rolling_11,0.6,0.646112185008647,0.653733205038697,0.2222222222222222,0.7037526231510014
contact_pred_rolling_12,0.6,0.6467242634917654,0.6538676421689016,0.2222222222222222,0.703739113721343
contact_pred_rolling_10,0.6,0.6460486566153191,0.6534474600095004,0.2222222222222222,0.7036420373852273
contact_pred_rolling_9,0.6,0.644384007153431,0.6530404904432411,0.2222222222222222,0.70346702549308
contact_pred_rolling_11,0.6,0.646112185008647,0.653733205038697,0.1111111111111111,0.7034231136731776
contact_pred_rolling_11,0.6,0.646112185008647,0.653733205038697,0.3333333333333333,0.7034186867548947
contact_pred_rolling_12,0.6,0.6467242634917654,0.6538676421689016,0.1111111111111111,0.7034097514900285
contact_pred_rolling_12,0.6,0.6467242634917654,0.6538676421689016,0.3333333333333333,0.7034037558378864
contact_pred_rolling_11,0.6,0.646112185008647,0.653733205038697,0.4444444444444444,0.7033764941595766
contact_pred_rolling_12,0.6,0.6467242634917654,0.6538676421689016,0.4444444444444444,0.7033602726882654
contact_pred_rolling_11,0.6,0.646112185008647,0.653733205038697,0.5555555555555556,0.7033425982734003
contact_pred_rolling_12,0.6,0.6467242634917654,0.6538676421689016,0.5555555555555556,0.7033214916683416
contact_pred_rolling_10,0.6,0.6460486566153191,0.6534474600095004,0.1111111111111111,0.703312310283025
contact_pred_rolling_10,0.6,0.6460486566153191,0.6534474600095004,0.3333333333333333,0.7033096133443466
contact_pred_rolling_10,0.6,0.6460486566153191,0.6534474600095004,0.4444444444444444,0.703268837899781
contact_pred_rolling_10,0.6,0.6460486566153191,0.6534474600095004,0.5555555555555556,0.7032403308144516
contact_pred_rolling_11,0.6,0.646112185008647,0.653733205038697,0.0,0.7032049443714866
contact_pred_rolling_12,0.6,0.6467242634917654,0.6538676421689016,0.0,0.7031914904321761
contact_pred_rolling_9,0.6,0.644384007153431,0.6530404904432411,0.1111111111111111,0.7031370039202159
contact_pred_rolling_9,0.6,0.644384007153431,0.6530404904432411,0.3333333333333333,0.7031365577365526
