col,thresh,full,average,final
contact_pred_rolling_66,0.5,0.7681052741928938,0.5816108172803095,0.7851146065712973
contact_pred_rolling_72,0.5,0.7690539335519825,0.5761643874912317,0.7838745568598052
contact_pred_rolling_67,0.5,0.7664810660395225,0.5808156760854701,0.7835588933576938
contact_pred_rolling_70,0.5,0.7665785454698263,0.5775913519932911,0.7835007417359051
contact_pred_rolling_65,0.43333333333333335,0.7598032812199738,0.5493431583615777,0.7832645252607728
contact_pred_rolling_66,0.4666666666666667,0.7651397261356454,0.5663264687294278,0.7831650462590095
contact_pred_rolling_65,0.4666666666666667,0.7633766417540283,0.5668831105516839,0.7829863703437339
contact_pred_rolling_67,0.43333333333333335,0.7596772435919414,0.5468988364942236,0.7828233332817625
contact_pred_rolling_66,0.43333333333333335,0.7608553257549069,0.5480494925820951,0.7827153047947343
contact_pred_rolling_69,0.43333333333333335,0.7588280752629895,0.5464587718194905,0.7825635116522998
contact_pred_rolling_65,0.5,0.7669407510931943,0.581547103203878,0.782318765927995
contact_pred_rolling_68,0.43333333333333335,0.7594891736311218,0.5460765805365319,0.7821948341752318
contact_pred_rolling_68,0.5,0.7658864843356684,0.5783325759379954,0.7821637072992343
contact_pred_rolling_70,0.43333333333333335,0.759688533393104,0.5460190217580876,0.7819278246324974
contact_pred_rolling_72,0.43333333333333335,0.7621361695624369,0.546154758068616,0.7818768562888416
contact_pred_rolling_67,0.4666666666666667,0.7645508861947444,0.5648973244629729,0.7813213890719626
contact_pred_rolling_71,0.43333333333333335,0.7602390471328062,0.5465804260841388,0.7813060264477506
contact_pred_rolling_69,0.5,0.7641177240541006,0.5784437930104293,0.7810200503398446
contact_pred_rolling_68,0.4666666666666667,0.7657508761792662,0.5642161069128281,0.7809982080004149
contact_pred_rolling_73,0.43333333333333335,0.7599380075157269,0.5462455491683488,0.7808865259563702
contact_pred_rolling_74,0.5,0.7698353871203218,0.57351403218715,0.7808483179028065
contact_pred_rolling_74,0.43333333333333335,0.7607199406316134,0.5461002531743406,0.7808066724779609
contact_pred_rolling_71,0.5,0.7665461389002336,0.5778730315128374,0.7804570727476526
contact_pred_rolling_69,0.4666666666666667,0.7645498437799557,0.5623934282334904,0.7802640193046373
contact_pred_rolling_73,0.5,0.7686638069797511,0.573799483406244,0.7801854305567132
