col,thresh,full,average,distance,final
contact_pred_rolling_14,0.49473684210526314,0.67336360736595,0.6962025710204709,0.5,0.7516273330993292
contact_pred_rolling_20,0.5157894736842106,0.6793788140786635,0.6978523795285001,0.5,0.7515542069905031
contact_pred_rolling_16,0.4631578947368421,0.6729981704738748,0.6940797418080189,0.5,0.7515489713936786
contact_pred_rolling_12,0.49473684210526314,0.6719119328486357,0.6959921791127522,0.5,0.7514896214309235
contact_pred_rolling_10,0.4842105263157895,0.6700862431706428,0.6953313579545807,0.5,0.7514815656306805
contact_pred_rolling_10,0.5052631578947369,0.6707571687170467,0.6965133192298193,0.5,0.7513461898918676
contact_pred_rolling_18,0.4736842105263158,0.675290685159071,0.694461927463205,0.5,0.7512610361612819
contact_pred_rolling_12,0.5052631578947369,0.672224664021044,0.6964675378180687,0.5,0.7512515339741503
contact_pred_rolling_12,0.4842105263157895,0.671757453442449,0.6950403500020219,0.5,0.7512488757698373
contact_pred_rolling_16,0.4736842105263158,0.6742766834713464,0.694394253371002,0.5,0.7512333135070636
contact_pred_rolling_14,0.5052631578947369,0.6739855713494168,0.6963041783414586,0.5,0.7511482808419487
contact_pred_rolling_18,0.4631578947368421,0.673841660949878,0.6935659939430994,0.5,0.7510813044489499
contact_pred_rolling_18,0.4842105263157895,0.6761626418478472,0.694784241964202,0.5,0.7509684285577948
contact_pred_rolling_14,0.4842105263157895,0.6728842012064232,0.6944897107488515,0.5,0.7508280619581317
contact_pred_rolling_22,0.4842105263157895,0.6768659980030205,0.694667605967619,0.5,0.7508252573418677
contact_pred_rolling_16,0.49473684210526314,0.6752757407082773,0.6951115227681506,0.5,0.7506784176846215
contact_pred_rolling_12,0.4736842105263158,0.6715167822005049,0.6936441127773754,0.5,0.7506690767565971
contact_pred_rolling_17,0.4736842105263158,0.6731454227116445,0.6936705394357568,0.5,0.7506312985561745
contact_pred_rolling_10,0.49473684210526314,0.6705947886329746,0.6949027404750229,0.5,0.750587178962987
contact_pred_rolling_22,0.5157894736842106,0.6801025745532345,0.6966525446932633,0.5,0.7505779389639841
contact_pred_rolling_20,0.4842105263157895,0.6762880623426352,0.6943059777454313,0.5,0.7505779000854801
contact_pred_rolling_12,0.5157894736842106,0.6726282889247628,0.6963255529189863,0.5,0.7505710161381091
contact_pred_rolling_16,0.4842105263157895,0.67473094131898,0.6942815706536855,0.5,0.7505675553732395
contact_pred_rolling_16,0.5052631578947369,0.6756230425759149,0.695708511969297,0.5,0.7505536567998305
contact_pred_rolling_14,0.5157894736842106,0.6746598536486847,0.6963704948589938,0.5,0.750548199143787
contact_pred_rolling_18,0.49473684210526314,0.676986862011785,0.6950302521665295,0.5,0.7505363958378554
contact_pred_rolling_20,0.4736842105263158,0.6760569625822559,0.6935007521334825,0.5,0.7505297808861529
contact_pred_rolling_15,0.4842105263157895,0.6730262298176823,0.6941599977077477,0.5,0.7505161292026993
contact_pred_rolling_20,0.5052631578947369,0.6788973381448048,0.6958105294645369,0.5,0.7505111074610084
contact_pred_rolling_24,0.5052631578947369,0.6789612984135703,0.6959066555756086,0.5,0.7505106247887069
contact_pred_rolling_13,0.5052631578947369,0.672125706103038,0.6953947757815631,0.5,0.7504572664701281
contact_pred_rolling_20,0.4631578947368421,0.6744712894949023,0.6927029745174687,0.5,0.7504435303587459
contact_pred_rolling_24,0.5157894736842106,0.6802589123220629,0.6966179862681183,0.5,0.75043245420689
contact_pred_rolling_13,0.4842105263157895,0.6714188183829928,0.6940076937860223,0.5,0.7504204377626789
contact_pred_rolling_22,0.5263157894736842,0.6803957421548842,0.6972496026828053,0.5,0.7504039527313765
contact_pred_rolling_11,0.4842105263157895,0.670255180919014,0.6939594623063006,0.5,0.7504001309362854
contact_pred_rolling_15,0.4736842105263158,0.6725994937321791,0.693280382877038,0.5,0.7503916502318339
contact_pred_rolling_23,0.4736842105263158,0.6744661154964119,0.6933908120778438,0.5,0.7503717285911943
contact_pred_rolling_21,0.4631578947368421,0.6742796679602071,0.692688409497039,0.5,0.7503707323601997
contact_pred_rolling_21,0.5052631578947369,0.6782045527148767,0.6955460786453151,0.5,0.7502878238256939
contact_pred_rolling_22,0.49473684210526314,0.6777118193131167,0.6947645189343928,0.5,0.7502829731223692
contact_pred_rolling_18,0.5052631578947369,0.6769258760373817,0.6954260983352831,0.5,0.750263102238922
contact_pred_rolling_24,0.4842105263157895,0.6761812575980238,0.6939501441193038,0.5,0.7502391301379694
contact_pred_rolling_22,0.4736842105263158,0.6757618251728275,0.6931243988082065,0.5,0.7502146557587864
contact_pred_rolling_14,0.4736842105263158,0.6729224006850496,0.693025251267673,0.5,0.750207044371421
contact_pred_rolling_17,0.4842105263157895,0.6741727377228369,0.6938308744105162,0.5,0.7502042925625493
contact_pred_rolling_24,0.5263157894736842,0.6804357997472978,0.6970203384575967,0.5,0.7501959070969179
contact_pred_rolling_22,0.5052631578947369,0.6792393203516547,0.6954441179034848,0.5,0.7501824985541519
contact_pred_rolling_19,0.4736842105263158,0.6740194590188223,0.69306712667813,0.5,0.7501589265084172
contact_pred_rolling_24,0.4631578947368421,0.6738979598411285,0.6923335615419182,0.5,0.7501488506128389
contact_pred_rolling_20,0.5368421052631579,0.6798708689434347,0.6976757038572022,0.5,0.7501483424708215
contact_pred_rolling_21,0.4736842105263158,0.6749251893005741,0.6930550321790401,0.5,0.7501215655212388
contact_pred_rolling_11,0.49473684210526314,0.6704221631057898,0.694219073949559,0.5,0.7501214940575631
contact_pred_rolling_20,0.49473684210526314,0.6774258788963986,0.6944992161236241,0.5,0.750120902824168
contact_pred_rolling_16,0.5157894736842106,0.6763621162986704,0.6958838830486146,0.5,0.7500910522189586
contact_pred_rolling_16,0.45263157894736844,0.6718235401538645,0.691581719573996,0.5,0.7500892957596824
contact_pred_rolling_22,0.4631578947368421,0.6749451303026012,0.6922537526932607,0.5,0.7500842426895787
contact_pred_rolling_24,0.4736842105263158,0.6752610080321533,0.6929137256881853,0.5,0.7500479238814245
contact_pred_rolling_21,0.5157894736842106,0.6791966556065155,0.6959424997347509,0.5,0.7500456981942248
contact_pred_rolling_14,0.4631578947368421,0.6721831852103811,0.692182966667742,0.5,0.7500400026346149
contact_pred_rolling_23,0.5052631578947369,0.6783881146891096,0.6952880758133582,0.5,0.7500378443296416
contact_pred_rolling_15,0.4631578947368421,0.6718260597636491,0.6921213968484897,0.5,0.7500162539253709
contact_pred_rolling_19,0.4842105263157895,0.6751190250440908,0.6935429471931358,0.5,0.7499883572661971
contact_pred_rolling_21,0.5263157894736842,0.6791545939899976,0.6966647610930475,0.5,0.7499700349297974
contact_pred_rolling_17,0.45263157894736844,0.6716732117165818,0.6914859643659288,0.5,0.7499664398423965
contact_pred_rolling_18,0.5157894736842106,0.6774963175574348,0.6957962634377288,0.5,0.749963425520104
contact_pred_rolling_17,0.4631578947368421,0.6724819957130742,0.6920851662997722,0.5,0.7499346680071688
contact_pred_rolling_10,0.5157894736842106,0.6707801085703535,0.6953837205215622,0.5,0.7499341250625492
contact_pred_rolling_19,0.4631578947368421,0.6734879111976535,0.6920969799582806,0.5,0.7499223794223301
contact_pred_rolling_11,0.5052631578947369,0.6704958494549199,0.6945891148227866,0.5,0.7498879542545899
contact_pred_rolling_15,0.49473684210526314,0.6733474499791973,0.6940000196327802,0.5,0.7498572942196188
contact_pred_rolling_20,0.5263157894736842,0.6795047361479312,0.6963962572800204,0.5,0.7498568067481571
contact_pred_rolling_10,0.4736842105263158,0.6697911287619018,0.6925597226926128,0.5,0.7498560151588602
contact_pred_rolling_19,0.45263157894736844,0.6725545908943835,0.6912958265878599,0.5,0.7498089551584873
contact_pred_rolling_13,0.4736842105263158,0.6708368237152906,0.6924799304409738,0.5,0.7497911698230102
contact_pred_rolling_20,0.45263157894736844,0.6735036001275051,0.6912390254331892,0.5,0.7497881481960993
contact_pred_rolling_19,0.5052631578947369,0.6772275583968033,0.6947860077509326,0.5,0.749751543952058
contact_pred_rolling_19,0.5157894736842106,0.6778664428506521,0.6954664606995,0.5,0.7497237181982415
contact_pred_rolling_10,0.4631578947368421,0.6689648772997292,0.6917748451717217,0.5,0.7496965042509421
contact_pred_rolling_12,0.5263157894736842,0.6734012859457184,0.6958782548835802,0.5,0.7496841670612978
contact_pred_rolling_22,0.5368421052631579,0.6806392805620352,0.6971563755379577,0.5,0.7496601465256497
contact_pred_rolling_21,0.4842105263157895,0.6757194619742387,0.6931198704774874,0.5,0.7496524338733052
contact_pred_rolling_23,0.5157894736842106,0.6795793328483594,0.6955811152576924,0.5,0.7496463024075977
contact_pred_rolling_24,0.49473684210526314,0.677779314401431,0.6939942099476638,0.5,0.7496251951105969
contact_pred_rolling_23,0.5368421052631579,0.6799168287608921,0.6971117780336452,0.5,0.7496107111938997
contact_pred_rolling_13,0.5157894736842106,0.6727415270965513,0.6951261288287546,0.5,0.7495962135840735
contact_pred_rolling_11,0.4736842105263158,0.6696549880364657,0.6922561457446459,0.5,0.7495864725464533
contact_pred_rolling_18,0.5263157894736842,0.6783110082605954,0.6959964863221967,0.5,0.7495823518877059
contact_pred_rolling_23,0.4842105263157895,0.6755803765721208,0.6930367092063523,0.5,0.749570052392472
contact_pred_rolling_23,0.49473684210526314,0.6771524718089621,0.6938877444855241,0.5,0.7495632607414908
contact_pred_rolling_17,0.49473684210526314,0.675153459765832,0.6937556940546432,0.5,0.7495361167098518
contact_pred_rolling_21,0.45263157894736844,0.672846493911042,0.6908442253259853,0.5,0.7495031392990529
contact_pred_rolling_22,0.45263157894736844,0.6733363957091025,0.6907761416910523,0.5,0.749460726007431
contact_pred_rolling_12,0.4631578947368421,0.67077886995991,0.6914234573543474,0.5,0.7494425777565125
contact_pred_rolling_15,0.45263157894736844,0.6707167308760685,0.690745583342795,0.5,0.7494319365819112
contact_pred_rolling_13,0.49473684210526314,0.6720291964364135,0.6933434174826731,0.5,0.7494190493133129
contact_pred_rolling_24,0.5368421052631579,0.6811375888597953,0.69691552343797,0.5,0.7493487761306223
contact_pred_rolling_21,0.5368421052631579,0.6793432944322072,0.6966863176836186,0.5,0.7493346108175692
contact_pred_rolling_20,0.5473684210526315,0.6797647093006836,0.6973950905985606,0.5,0.7492948833759887
contact_pred_rolling_11,0.4631578947368421,0.668656263154143,0.691254664924246,0.5,0.7492927872146959
